
Generation 0 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 1 - Best Individual for Enemy 2: Fitness: 87.572379, Player Life: 32, Enemy Life: 0, Time: 278, Gain: 32
Generation 2 - Best Individual for Enemy 2: Fitness: 87.572379, Player Life: 32, Enemy Life: 0, Time: 278, Gain: 32
Generation 3 - Best Individual for Enemy 2: Fitness: 87.572379, Player Life: 32, Enemy Life: 0, Time: 278, Gain: 32
Generation 4 - Best Individual for Enemy 2: Fitness: 87.572379, Player Life: 32, Enemy Life: 0, Time: 278, Gain: 32
Generation 5 - Best Individual for Enemy 2: Fitness: 87.572379, Player Life: 32, Enemy Life: 0, Time: 278, Gain: 32
Generation 6 - Best Individual for Enemy 2: Fitness: 87.572379, Player Life: 32, Enemy Life: 0, Time: 278, Gain: 32
Generation 7 - Best Individual for Enemy 2: Fitness: 87.572379, Player Life: 32, Enemy Life: 0, Time: 278, Gain: 32
Generation 8 - Best Individual for Enemy 2: Fitness: 91.490612, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Generation 9 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 10 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 11 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 12 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 13 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 14 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 15 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 16 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 17 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 18 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 19 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 20 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 21 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 22 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 23 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 24 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 25 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 26 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 27 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 28 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 29 - Best Individual for Enemy 2: Fitness: 92.04704, Player Life: 76, Enemy Life: 0, Time: 258, Gain: 76
Generation 30 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 31 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 32 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 33 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 34 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 35 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 36 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 37 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 38 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 39 - Best Individual for Enemy 2: Fitness: 90.84704, Player Life: 64, Enemy Life: 0, Time: 258, Gain: 64
Generation 40 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 41 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 42 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 43 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 44 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 45 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 46 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 47 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 48 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
Generation 49 - Best Individual for Enemy 2: Fitness: 91.409013, Player Life: 70, Enemy Life: 0, Time: 268, Gain: 70
